ID,Tên sách,Tác giả,Nhà xuất bản,Giá,Giá gốc,Giảm giá,Phần trăm giảm,Đánh giá,Số lượt đánh giá
1,Đắc Nhân Tâm,Nguyễn Nhật Ánh,NXB Tổng Hợp TP.HCM,211183.0,232069,20886.0,9,3.7,9183
2,Nhà Giả Kim,James Clear,NXB Tổng Hợp TP.HCM,300138.0,353104,52966.0,15,4.8,2425
3,The Psychology of Money,James Clear,NXB Tổng Hợp TP.HCM,221409.0,228257,6848.0,3,4.6,3615
4,Cây Cam Ngọt Của Tôi,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,284003.0,319105,35102.0,11,3.6,16343
5,Sherlock Holmes,Tony Buổi Sáng,NXB Lao Động,210259.0,300370,90111.0,30,4.6,16337
6,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Lao Động,195162.0,314777,119615.0,38,4.2,8874
7,Deep Work,Nguyễn Ngọc Tư,NXB Trẻ,234646.0,366635,131989.0,36,3.8,12589
8,Dế Mèn Phiêu Lưu Ký,Nguyễn Ngọc Tư,NXB Trẻ,246091.0,361899,115808.0,32,3.2,8009
9,Sherlock Holmes,Robin Sharma,NXB Kim Đồng,217703.0,236634,18931.0,8,4.3,10948
10,The Psychology of Money,Robin Sharma,NXB Kim Đồng,328267.0,426321,98054.0,23,3.1,10648
11,Think and Grow Rich,Robin Sharma,NXB Thế Giới,396062.0,471502,75440.0,16,3.5,1429
12,Deep Work,Paulo Coelho,NXB Thế Giới,186627.0,245562,58935.0,24,4.9,230
13,Những Người Khốn Khổ,Dale Carnegie,NXB Phụ Nữ Việt Nam,194101.0,294092,99991.0,34,3.7,17407
14,Hoàng Tử Bé,Victor Hugo,NXB Trẻ,46674.0,49131,2457.0,5,3.1,19587
15,Tuổi Trẻ Đáng Giá Bao Nhiêu,Tony Buổi Sáng,NXB Thế Giới,265359.0,344622,79263.0,23,3.6,562
16,Không Gia Đình,Nguyễn Nhật Ánh,NXB Thế Giới,232622.0,456121,223499.0,49,4.0,3989
17,Sherlock Holmes,J.K. Rowling,NXB Thế Giới,71481.0,140159,68678.0,49,3.8,1722
18,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Thế Giới,62983.0,118836,55853.0,47,4.2,17970
19,Hoàng Tử Bé,Paulo Coelho,NXB Phụ Nữ Việt Nam,300464.0,353487,53023.0,15,3.6,10596
20,Nhà Giả Kim,Robin Sharma,NXB Lao Động,369475.0,410528,41053.0,10,5.0,975
21,Không Gia Đình,James Clear,NXB Phụ Nữ Việt Nam,162489.0,191163,28674.0,15,3.5,6487
22,Think and Grow Rich,Paulo Coelho,NXB Tổng Hợp TP.HCM,190196.0,223760,33564.0,15,4.5,5052
23,Muôn Kiếp Nhân Sinh,Antoine de Saint-Exupéry,NXB Tổng Hợp TP.HCM,179973.0,285672,105699.0,37,4.7,2677
24,Think and Grow Rich,Paulo Coelho,NXB Tổng Hợp TP.HCM,263766.0,366341,102575.0,28,3.9,10626
25,Deep Work,Antoine de Saint-Exupéry,NXB Lao Động,289064.0,401478,112414.0,28,4.2,8054
26,Deep Work,J.K. Rowling,NXB Phụ Nữ Việt Nam,273816.0,285225,11409.0,4,3.2,14897
27,Think and Grow Rich,Nguyễn Nhật Ánh,NXB Lao Động,113905.0,186729,72824.0,39,4.4,9781
28,The Psychology of Money,James Clear,NXB Thế Giới,316179.0,367650,51471.0,14,4.0,8315
29,Không Gia Đình,Paulo Coelho,NXB Lao Động,342484.0,475672,133188.0,28,4.0,215
30,Nhà Giả Kim,Nguyễn Nhật Ánh,NXB Thế Giới,329970.0,499955,169985.0,34,3.9,6132
31,Không Gia Đình,Victor Hugo,NXB Lao Động,126291.0,247630,121339.0,49,4.0,17009
32,Những Người Khốn Khổ,Victor Hugo,NXB Tổng Hợp TP.HCM,43200.0,56842,13642.0,24,4.6,3358
33,Những Người Khốn Khổ,J.K. Rowling,NXB Tổng Hợp TP.HCM,235650.0,310066,74416.0,24,3.5,14119
34,Hoàng Tử Bé,Victor Hugo,NXB Phụ Nữ Việt Nam,279360.0,310400,31040.0,10,5.0,19879
35,Deep Work,Dale Carnegie,NXB Kim Đồng,39040.0,72297,33257.0,46,3.9,19388
36,Những Người Khốn Khổ,Nguyễn Ngọc Tư,NXB Trẻ,215269.0,269086,53817.0,20,4.2,8714
37,Atomic Habits,Nguyễn Ngọc Tư,NXB Thế Giới,254508.0,310376,55868.0,18,3.4,10086
38,Cây Cam Ngọt Của Tôi,Victor Hugo,NXB Tổng Hợp TP.HCM,368954.0,384327,15373.0,4,4.2,9325
39,Cây Cam Ngọt Của Tôi,Victor Hugo,NXB Trẻ,21915.0,42145,20230.0,48,4.6,1081
40,The Psychology of Money,James Clear,NXB Kim Đồng,226922.0,338690,111768.0,33,4.3,15290
41,Nhà Giả Kim,Victor Hugo,NXB Tổng Hợp TP.HCM,166097.0,240720,74623.0,31,3.5,8402
42,Hoàng Tử Bé,Antoine de Saint-Exupéry,NXB Lao Động,146919.0,216058,69139.0,32,4.4,6981
43,Nhà Giả Kim,J.K. Rowling,NXB Kim Đồng,59773.0,85390,25617.0,30,4.7,10014
44,Hoàng Tử Bé,Victor Hugo,NXB Kim Đồng,67689.0,127716,60027.0,47,3.5,10064
45,Những Người Khốn Khổ,Victor Hugo,NXB Phụ Nữ Việt Nam,174416.0,202809,28393.0,14,3.6,15063
46,Atomic Habits,Dale Carnegie,NXB Thế Giới,21073.0,41320,20247.0,49,3.3,17280
47,Dế Mèn Phiêu Lưu Ký,Paulo Coelho,NXB Trẻ,119063.0,133779,14716.0,11,4.3,15000
48,Dế Mèn Phiêu Lưu Ký,James Clear,NXB Kim Đồng,138829.0,252416,113587.0,45,4.1,8293
49,Atomic Habits,Paulo Coelho,NXB Lao Động,129446.0,168112,38666.0,23,3.1,16237
50,Sherlock Holmes,Nguyễn Nhật Ánh,NXB Thế Giới,166277.0,251935,85658.0,34,3.4,15659
51,Hoàng Tử Bé,Paulo Coelho,NXB Văn Học,178639.0,229024,50385.0,22,4.6,6935
52,Những Người Khốn Khổ,J.K. Rowling,NXB Lao Động,289972.0,491478,201506.0,41,3.4,14285
53,Muôn Kiếp Nhân Sinh,James Clear,NXB Kim Đồng,283659.0,341758,58099.0,17,3.4,6641
54,Sherlock Holmes,Dale Carnegie,NXB Văn Học,144467.0,233012,88545.0,38,3.8,5098
55,Harry Potter,Victor Hugo,NXB Trẻ,70951.0,129002,58051.0,45,4.9,16492
56,Think and Grow Rich,Paulo Coelho,NXB Trẻ,259545.0,489707,230162.0,47,4.5,17847
57,Think and Grow Rich,Dale Carnegie,NXB Trẻ,315461.0,389458,73997.0,19,4.8,5770
58,Think and Grow Rich,Paulo Coelho,NXB Trẻ,122908.0,161721,38813.0,24,4.3,16718
59,Harry Potter,Nguyễn Ngọc Tư,NXB Kim Đồng,132565.0,254933,122368.0,48,3.5,2176
60,Hoàng Tử Bé,James Clear,NXB Trẻ,220359.0,440718,220359.0,50,3.2,7952
61,Hoàng Tử Bé,Nguyễn Ngọc Tư,NXB Trẻ,34593.0,47387,12794.0,27,3.6,17027
62,The Psychology of Money,J.K. Rowling,NXB Phụ Nữ Việt Nam,165568.0,275946,110378.0,40,4.3,8076
63,Harry Potter,James Clear,NXB Trẻ,264172.0,278076,13904.0,5,3.1,6203
64,Không Gia Đình,Nguyễn Nhật Ánh,NXB Văn Học,144612.0,222480,77868.0,35,4.8,6807
65,Đắc Nhân Tâm,J.K. Rowling,NXB Trẻ,278167.0,316099,37932.0,12,3.3,9163
66,Không Gia Đình,Nguyễn Ngọc Tư,NXB Văn Học,295391.0,461549,166158.0,36,4.7,9480
67,Cây Cam Ngọt Của Tôi,Paulo Coelho,NXB Tổng Hợp TP.HCM,65350.0,81688,16338.0,20,4.7,8631
68,Tuổi Trẻ Đáng Giá Bao Nhiêu,Victor Hugo,NXB Văn Học,57198.0,103996,46798.0,45,4.1,7630
69,Dế Mèn Phiêu Lưu Ký,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,271022.0,291421,20399.0,7,3.1,9553
70,Sherlock Holmes,Tony Buổi Sáng,NXB Kim Đồng,305678.0,377380,71702.0,19,3.6,2366
71,Những Người Khốn Khổ,Tony Buổi Sáng,NXB Phụ Nữ Việt Nam,124501.0,183089,58588.0,32,3.2,9425
72,Harry Potter,Tony Buổi Sáng,NXB Trẻ,220452.0,306184,85732.0,28,3.9,16910
73,Deep Work,Robin Sharma,NXB Phụ Nữ Việt Nam,130257.0,169165,38908.0,23,4.7,7794
74,Cây Cam Ngọt Của Tôi,Robin Sharma,NXB Phụ Nữ Việt Nam,211839.0,365240,153401.0,42,4.3,6615
75,Tuổi Trẻ Đáng Giá Bao Nhiêu,Robin Sharma,NXB Kim Đồng,104649.0,177371,72722.0,41,4.4,8452
