ID,Tên sản phẩm,Thương hiệu,Giá,Giá gốc,Giảm giá,Phần trăm giảm,Đánh giá,Số lượt đánh giá
279325148,Bút bi Claro ARROW 0.5mm Mực Xanh (Giao Màu Ngẫu Nhiên),Claro,3750,5000,1250,25,0.0,0
279218500,Ship of Theseus - NXB Trẻ,,45000,50000,5000,10,5.0,25
279157961,Sách Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),,72200,80000,7800,10,5.0,29
279112904,Thám Tử Lừng Danh Conan - Tập 107,,22500,25000,2500,10,5.0,24
278968251,Hàng Xóm Của Tôi TOTORO (Truyện tranh màu) - [Chọn Tập Lẻ,,71250,75000,3750,5,5.0,15
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ,,118750,125000,6250,5,5.0,66
278879928,Sách Nếu Như Không Thể Nói Nếu Như & Có Ai Giữ Giùm Những Lãng Quên & Thức Dậy Anh Vẫn Là Mơ - Tái Bản 2025,,86250,115000,28750,25,5.0,12
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,,151000,200000,49000,25,5.0,75
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ,,29100,30000,900,3,5.0,288
278785576,Sách Dragon Ball - 7 Viên Ngọc Rồng [Chọn Tập Lẻ,,29100,30000,900,3,4.8,4
278777861,Bộ Sách Quiz! Khoa Học Kì Thú [Chọn Tập Lẻ,,55200,75000,19800,26,5.0,35
278777851,Sách Ma Đạo Tổ Sư - Tái Bản,,131200,179000,47800,27,5.0,41
278729070,Sách Chu Du Ẩm Thực Tại Dị Giới Với Kĩ Năng Không Tưởng - Sui Phiêu Lưu Ký  [Chọn Tập Lẻ,,33250,35000,1750,5,5.0,9
278715265,Sách Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,,122500,196000,73500,38,5.0,7
278710197,Rắc Rối Đáng Yêu - Love☆Com,,45000,50000,5000,10,5.0,10
278706881,Itto - Sóng Gió Cầu Trường - [Tái Bản 2025,,23750,25000,1250,5,5.0,35
